id,scientificNameWithoutAuthor,commonNames,gbifId,powoId,iucnCategory
1525430,Verbesina holwayi,,3148024,263550-2,
1406575,Verbesina lanata,,3148110,263566-2,LC
1525457,Verbesina lilloi,,3147964,294566-2,
1525469,Verbesina macrophylla,,3148070,263584-2,
1439526,Verbesina microptera,Texas crownbeard,8328112,257506-1,
1713016,Verbesina monteverdensis,,9441915,77159532-1,
1820714,Verbesina myriocephala,,3147847,263601-2,
1525493,Verbesina nudipes,,3148113,263608-2,LC
1817013,Verbesina occidentalis,Yellow Crownbeard; Stickweed,3148065,257536-1,
1822138,Verbesina ovatifolia,,3147979,257551-1,LC
1525508,Verbesina pallens,,3147874,257554-1,
1820716,Verbesina perymenioides,,3148055,263642-2,LC
1525526,Verbesina petzalensis,,3148206,263645-2,
1525565,Verbesina scabriuscula,,3148144,263686-2,
1525574,Verbesina sordescens,,3148005,257657-1,
1525582,Verbesina subcordata,,3148157,257667-1,
1525589,Verbesina tapantiana,,3147875,305190-2,EN
1525598,Verbesina trichantha,,3147834,263727-2,
1525600,Verbesina turbacensis,Mexican tree daisy,3148048,257696-1,LC
1439531,Verbesina virginica,Frostweed; White crownbeard; Virginia crownbeard; Texas Crownbeard; White Wingstem,3148137,257707-1,
1439532,Verbesina walteri,Carolina Crownbeard,3148013,294527-2,
1376004,Vernicia cordata,Japanese tung oil-tree; Japanese wood oil-tree; Japanese tungoil tree; Tung Oil; Japanese tung oil tree; Japan wood oil tree,3074908,358197-1,LC
1376001,Vernicia fordii,Tung oil tree; Tungoil tree; Chinese wood oil-tree; Tung oil-tree; Candle nut tree; Chinese wood oil tree; Tung tree,3074906,358198-1,LC
1376003,Vernicia montana,Mu oil tree; Abrasin oil-tree; Cantonese wood oil-tree; Chinese tung oil-tree; Chinese wood oil-tree; Mu oil-tree; Wood oil-tree; Chinese wood oil tree; Tung; Candlenut Tree,3074918,358199-1,LC
1405473,Vernonanthura brasiliana,,3124152,969180-1,
1525626,Vernonanthura discolor,,3124011,969197-1,LC
1525629,Vernonanthura ferruginea,,3125214,969199-1,LC
1525642,Vernonanthura montevidensis,,4250834,969211-1,
1525645,Vernonanthura nudiflora,Narrow leaved ironweed,3110446,969213-1,
1405474,Vernonanthura patens,,3124739,969218-1,LC
1525652,Vernonanthura pinguis,,3110503,969222-1,
1753785,Vernonanthura polyanthes,Bee bush; Tree aster,8245828,77107078-1,
1525656,Vernonanthura puberula,,3110524,969225-1,
1820959,Vernonanthura stellaris,,11196423,77216783-1,
1525664,Vernonanthura tweedieana,Cambará branco,3124373,969234-1,
1525678,Vernonella praecox,,8142262,77114723-1,
1525690,Vernonia adenocephala,,5397310,257745-1,
1525697,Vernonia alleizettei,,5397223,257773-1,
1525703,Vernonia ambolensis,,5704016,257788-1,
1525705,Vernonia ambrensis,,5704014,257790-1,
1432485,Vernonia amygdalina,Bitterleaf; Sierra Leone bitterleaf; Bitter leaf; Congo Bolobo,5397785,,
1525713,Vernonia andapensis,,5704002,257803-1,
1439536,Vernonia angustifolia,Tall Ironweed; Narrow Leaf Ironweed,7725720,263791-2,
1417909,Vernonia arkansana,Arkansas ironweed; Ozark ironweed,5396835,257875-1,
1439537,Vernonia baldwinii,Baldwin's Ironweed; Western ironweed; Ironweed; Inland ironweed; Interior ironweed; Missouri ironweed; New York Ironweed,5397742,257916-1,
1374507,Vernonia bambilorensis,,5397752,257917-1,
1525753,Vernonia betsilensis,,5703772,257944-1,
1525754,Vernonia betsimisaraka,,5703771,257945-1,
1439538,Vernonia blodgettii,Florida Ironweed; Blodgett's Ironweed,5397764,263857-2,
1374514,Vernonia brazzavillensis,,5397458,257987-1,LC
1374518,Vernonia bruceana,,5397042,257995-1,
1525780,Vernonia calulu,,5397632,258020-1,
1525794,Vernonia cephalophora,,5703555,258071-1,
1525795,Vernonia chapmanii,,5397493,258082-1,
1408817,Vernonia colorata,Gambia bitterleaf; Star flowered Vernonia,5396914,258123-1,
1525825,Vernonia daphnifolia,,5397242,258209-1,
1525827,Vernonia decaryana,,5703247,258214-1,
1374539,Vernonia devredii,,5396656,901223-1,
1759573,Vernonia diversifolia,,5397721,258249-1,VU
1750374,Vernonia divulgata,,5396829,258250-1,
1374545,Vernonia duvigneaudii,,5397246,932395-1,EN
1525847,Vernonia echioides,,5397705,258274-1,
1374548,Vernonia evrardiana,,5397439,931254-1,
1381068,Vernonia excelsa,,9012549,77111768-1,
1750375,Vernonia extranea,,5397644,258337-1,
1414173,Vernonia fasciculata,Prairie Ironweed; Common Ironweed; Fascicled ironweed; Smooth ironweed,5397564,258347-1,
1432487,Vernonia galamensis,Ironweed,5397194,258402-1,
1414174,Vernonia gigantea,Giant ironweed; Tall ironweed; Chrysocoma gigantea,5397391,258416-1,
1817247,Vernonia glauca,Broadleaf ironweed,5396749,258427-1,
1525893,Vernonia goetzenii,,5397264,258442-1,
1525897,Vernonia gossweileri,,5397843,258448-1,
1525903,Vernonia griseopapposa,,5396875,935015-1,
1374559,Vernonia hamata,,5397714,258482-1,
1762208,Vernonia hispidula,,8702032,258519-1,
1762209,Vernonia homollei,,5702573,258529-1,
1762210,Vernonia humillima,,5702558,258537-1,
1525924,Vernonia ikongensis,,5702529,258549-1,
1525928,Vernonia incana,,8033216,258561-1,
1374572,Vernonia kapirensis,,5397360,258610-1,
1374573,Vernonia kapolowensis,,5397713,932396-1,
1374574,Vernonia kasaiensis,,5396652,901224-1,
1525950,Vernonia kenteocephala,,8118540,258621-1,
1525967,Vernonia latisquamata,,5397062,258668-1,VU
1525970,Vernonia leandrii,,5702329,258674-1,EN
1525979,Vernonia lettermannii,Narrow leaf ironweed; Lettermann's ironweed; Narrowleaf ironweed,5396937,264203-2,
1525982,Vernonia lindheimeri,Woolly Ironweed,5396599,264215-2,
1374590,Vernonia lisowskii,,5397255,901226-1,
